ID,Temp,Yield,Comp
498,25,1160,Hf0.25TiV0.5Zr0.5
499,600,405,Hf0.25TiV0.5Zr0.5
500,800,85,Hf0.25TiV0.5Zr0.5
501,1826.11,0,Hf0.25TiV0.5Zr0.5
502,25,845,Hf0.26NbTaTi0.578Zr0.416
503,60,795,Hf0.26NbTaTi0.578Zr0.416
504,100,765,Hf0.26NbTaTi0.578Zr0.416
505,200,650,Hf0.26NbTaTi0.578Zr0.416
506,300,590,Hf0.26NbTaTi0.578Zr0.416
507,2400.23,0,Hf0.26NbTaTi0.578Zr0.416
508,-268.8,2210,Hf0.5Nb0.667Ta0.333TiZr0.833
509,-268.8,2390,Hf0.5Nb0.667Ta0.333TiZr0.833
510,-268.8,2250,Hf0.5Nb0.667Ta0.333TiZr0.833
511,-196,1880,Hf0.5Nb0.667Ta0.333TiZr0.833
512,-196,1920,Hf0.5Nb0.667Ta0.333TiZr0.833
513,-196,1750,Hf0.5Nb0.667Ta0.333TiZr0.833
514,-153,1370,Hf0.5Nb0.667Ta0.333TiZr0.833
515,-153,1640,Hf0.5Nb0.667Ta0.333TiZr0.833
516,-153,1550,Hf0.5Nb0.667Ta0.333TiZr0.833
517,-103,1380,Hf0.5Nb0.667Ta0.333TiZr0.833
518,-103,1370,Hf0.5Nb0.667Ta0.333TiZr0.833
519,-103,1250,Hf0.5Nb0.667Ta0.333TiZr0.833
520,-43,1180,Hf0.5Nb0.667Ta0.333TiZr0.833
521,-43,1200,Hf0.5Nb0.667Ta0.333TiZr0.833
522,-43,1020,Hf0.5Nb0.667Ta0.333TiZr0.833
523,25,1150,Hf0.5Nb0.667Ta0.333TiZr0.833
524,25,890,Hf0.5Nb0.667Ta0.333TiZr0.833
525,25,1100,Hf0.5Nb0.667Ta0.333TiZr0.833
526,72,1040,Hf0.5Nb0.667Ta0.333TiZr0.833
527,72,1020,Hf0.5Nb0.667Ta0.333TiZr0.833
528,72,640,Hf0.5Nb0.667Ta0.333TiZr0.833
529,2095.34,0,Hf0.5Nb0.667Ta0.333TiZr0.833
530,25,1787,HfMo0.5NbSi0.5TiV0.5
531,1000,614,HfMo0.5NbSi0.5TiV0.5
532,1200,188,HfMo0.5NbSi0.5TiV0.5
533,2078,0,HfMo0.5NbSi0.5TiV0.5
534,25,2134,HfMo0.5NbSi0.7TiV0.5
535,1000,673,HfMo0.5NbSi0.7TiV0.5
536,1200,235,HfMo0.5NbSi0.7TiV0.5
537,2050,0,HfMo0.5NbSi0.7TiV0.5
538,25,1260,HfMo0.5NbTiV0.5
539,1000,368,HfMo0.5NbTiV0.5
540,1200,60,HfMo0.5NbTiV0.5
541,2161,0,HfMo0.5NbTiV0.5
542,2161.13,0,HfMo0.5NbTiV0.5
543,25,1637,HfMoNbTaTiWZr
544,800,1065,HfMoNbTaTiWZr
545,1000,736,HfMoNbTaTiWZr
546,1200,703,HfMoNbTaTiWZr
547,2470.71,0,HfMoNbTaTiWZr
548,25,1512,HfMoNbTaTiZr
549,800,1007,HfMoNbTaTiZr
550,1000,814,HfMoNbTaTiZr
551,1200,556,HfMoNbTaTiZr
552,2312,0,HfMoNbTaTiZr
553,25,1369,HfMoNbTaTi
554,800,822,HfMoNbTaTi
555,1000,778,HfMoNbTaTi
556,1200,699,HfMoNbTaTi
557,1400,367,HfMoNbTaTi
558,2403.6,0,HfMoNbTaTi
559,25,1524,HfMoNbTaZr
560,800,1005,HfMoNbTaZr
561,1000,927,HfMoNbTaZr
562,1200,694,HfMoNbTaZr
563,1400,278,HfMoNbTaZr
564,2441,0,HfMoNbTaZr
565,25,1719,HfMoNbTiZr
566,25,1575,HfMoNbTiZr
567,900,728,HfMoNbTiZr
568,1100,397,HfMoNbTiZr
569,800,829,HfMoNbTiZr
570,1000,721,HfMoNbTiZr
571,1200,301,HfMoNbTiZr
572,25,1600,HfMoTaTiZr
573,800,1045,HfMoTaTiZr
574,1000,855,HfMoTaTiZr
575,1200,404,HfMoTaTiZr
576,2279.2,0,HfMoTaTiZr
