,Temp,Yield,Comp,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd
145,600,975,AlNbTiVZr0.1,0.243902439,0,0,0,0,0,0,0,0.243902439,0.243902439,0.024390244,0.243902439,0,0,0,0,0
146,800,865,AlNbTiVZr0.1,0.243902439,0,0,0,0,0,0,0,0.243902439,0.243902439,0.024390244,0.243902439,0,0,0,0,0
147,1683,0,AlNbTiVZr0.1,0.243902439,0,0,0,0,0,0,0,0.243902439,0.243902439,0.024390244,0.243902439,0,0,0,0,0
148,25,1360,AlNbTiVZr0.25,0.235294118,0,0,0,0,0,0,0,0.235294118,0.235294118,0.058823529,0.235294118,0,0,0,0,0
149,600,1065,AlNbTiVZr0.25,0.235294118,0,0,0,0,0,0,0,0.235294118,0.235294118,0.058823529,0.235294118,0,0,0,0,0
150,800,855,AlNbTiVZr0.25,0.235294118,0,0,0,0,0,0,0,0.235294118,0.235294118,0.058823529,0.235294118,0,0,0,0,0
151,1683,0,AlNbTiVZr0.25,0.235294118,0,0,0,0,0,0,0,0.235294118,0.235294118,0.058823529,0.235294118,0,0,0,0,0
152,25,1485,AlNbTiVZr0.5,0.222222222,0,0,0,0,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0
153,600,1135,AlNbTiVZr0.5,0.222222222,0,0,0,0,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0
154,800,675,AlNbTiVZr0.5,0.222222222,0,0,0,0,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0
155,1698,0,AlNbTiVZr0.5,0.222222222,0,0,0,0,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0
156,25,1535,AlNbTiVZr1.5,0.181818182,0,0,0,0,0,0,0,0.181818182,0.181818182,0.272727273,0.181818182,0,0,0,0,0
157,600,1195,AlNbTiVZr1.5,0.181818182,0,0,0,0,0,0,0,0.181818182,0.181818182,0.272727273,0.181818182,0,0,0,0,0
158,800,180,AlNbTiVZr1.5,0.181818182,0,0,0,0,0,0,0,0.181818182,0.181818182,0.272727273,0.181818182,0,0,0,0,0
159,1727,0,AlNbTiVZr1.5,0.181818182,0,0,0,0,0,0,0,0.181818182,0.181818182,0.272727273,0.181818182,0,0,0,0,0
